Latitude :   29.17
Longitude:  -18.50
Date: 12/11/2020
Time; 12:57:48
PrDM;        Sal00;        T090C
   8.00;      36.9538;      21.2591
  10.00;      36.9538;      21.2591
  12.00;      36.9535;      21.2591
  14.00;      36.9537;      21.2598
  16.00;      36.9537;      21.2607
  18.00;      36.9536;      21.2608
  20.00;      36.9538;      21.2599
  22.00;      36.9538;      21.2596
  24.00;      36.9538;      21.2603
  26.00;      36.9537;      21.2614
  28.00;      36.9542;      21.2602
  30.00;      36.9540;      21.2609
  32.00;      36.9541;      21.2612
  34.00;      36.9541;      21.2610
  36.00;      36.9542;      21.2605
  38.00;      36.9540;      21.2612
  40.00;      36.9540;      21.2593
  42.00;      36.9542;      21.2593
  44.00;      36.9540;      21.2585
  46.00;      36.9542;      21.2575
  48.00;      36.9541;      21.2584
  50.00;      36.9543;      21.2572
  52.00;      36.9545;      21.2564
  54.00;      36.9544;      21.2572
  56.00;      36.9549;      21.2554
  58.00;      36.9547;      21.2558
  60.00;      36.9547;      21.2567
  62.00;      36.9548;      21.2568
  64.00;      36.9548;      21.2567
  66.00;      36.9549;      21.2569
  68.00;      36.9549;      21.2573
  70.00;      36.9552;      21.2556
  72.00;      36.9553;      21.2554
  74.00;      36.9552;      21.2552
  76.00;      36.9554;      21.2557
  78.00;      36.9553;      21.2566
  80.00;      36.9554;      21.2567
  82.00;      36.9551;      21.2562
  84.00;      36.9548;      21.2553
  86.00;      36.9545;      21.2550
  88.00;      36.9547;      21.2555
  90.00;      36.9539;      21.2504
  92.00;      36.9529;      21.2456
  94.00;      36.9396;      21.1963
  96.00;      36.7601;      20.4072
  98.00;      36.6414;      19.4427
 100.00;      36.6400;      19.2942
 102.00;      36.6325;      19.2182
 104.00;      36.6175;      19.0788
 106.00;      36.6258;      19.0603
 108.00;      36.6192;      18.9905
 110.00;      36.6088;      18.8638
 112.00;      36.6048;      18.8067
 114.00;      36.6054;      18.7750
 116.00;      36.6035;      18.7390
 118.00;      36.6041;      18.6988
 120.00;      36.6036;      18.6593
 122.00;      36.5889;      18.5832
 124.00;      36.5796;      18.4857
 126.00;      36.5762;      18.4656
 128.00;      36.5716;      18.4330
 130.00;      36.5708;      18.3460
 132.00;      36.5823;      18.3195
 134.00;      36.5873;      18.3079
 136.00;      36.5879;      18.2919
 138.00;      36.5796;      18.2058
 140.00;      36.5773;      18.1772
 142.00;      36.5727;      18.1395
 144.00;      36.5649;      18.0925
 146.00;      36.5512;      18.0034
 148.00;      36.5438;      17.9602
 150.00;      36.5301;      17.8613
 152.00;      36.5237;      17.8287
 154.00;      36.5129;      17.7749
 156.00;      36.4993;      17.6877
 158.00;      36.4912;      17.6428
 160.00;      36.4806;      17.5821
 162.00;      36.4707;      17.5359
 164.00;      36.4649;      17.5000
 166.00;      36.4546;      17.4347
 168.00;      36.4475;      17.3930
 170.00;      36.4432;      17.3704
 172.00;      36.4306;      17.3127
 174.00;      36.4252;      17.2723
