Latitude :   29.17
Longitude:  -19.00
Date: 12/10/2020
Time; 17:41:05
PrDM;        Sal00;        T090C
   8.00;      36.9540;      21.3449
  10.00;      36.9541;      21.3478
  12.00;      36.9539;      21.3508
  14.00;      36.9539;      21.3484
  16.00;      36.9543;      21.3442
  18.00;      36.9541;      21.3479
  20.00;      36.9543;      21.3520
  22.00;      36.9542;      21.3514
  24.00;      36.9541;      21.3534
  26.00;      36.9542;      21.3539
  28.00;      36.9539;      21.3537
  30.00;      36.9543;      21.3563
  32.00;      36.9542;      21.3573
  34.00;      36.9540;      21.3562
  36.00;      36.9540;      21.3543
  38.00;      36.9538;      21.3527
  40.00;      36.9534;      21.3497
  42.00;      36.9534;      21.3503
  44.00;      36.9536;      21.3518
  46.00;      36.9534;      21.3512
  48.00;      36.9535;      21.3515
  50.00;      36.9530;      21.3481
  52.00;      36.9527;      21.3445
  54.00;      36.9517;      21.3399
  56.00;      36.9511;      21.3317
  58.00;      36.9510;      21.3316
  60.00;      36.9508;      21.3313
  62.00;      36.9508;      21.3302
  64.00;      36.9507;      21.3298
  66.00;      36.9503;      21.3284
  68.00;      36.9502;      21.3265
  70.00;      36.9499;      21.3261
  72.00;      36.9498;      21.3253
  74.00;      36.9494;      21.3253
  76.00;      36.9483;      21.3196
  78.00;      36.9450;      21.3072
  80.00;      36.9233;      21.2213
  82.00;      36.9089;      21.1298
  84.00;      36.8693;      20.9751
  86.00;      36.7193;      20.0993
  88.00;      36.6818;      19.5817
  90.00;      36.6783;      19.4514
  92.00;      36.6760;      19.3881
  94.00;      36.6828;      19.3301
  96.00;      36.6865;      19.2371
  98.00;      36.6891;      19.2176
 100.00;      36.6790;      19.1387
 102.00;      36.6813;      19.0325
 104.00;      36.6811;      19.0214
 106.00;      36.6784;      18.9866
 108.00;      36.6748;      18.9530
 110.00;      36.6641;      18.8748
 112.00;      36.6414;      18.7246
 114.00;      36.6402;      18.6974
 116.00;      36.6393;      18.6927
 118.00;      36.6353;      18.6698
 120.00;      36.6312;      18.6477
 122.00;      36.6128;      18.5582
 124.00;      36.6011;      18.4960
 126.00;      36.5889;      18.4231
 128.00;      36.5871;      18.3498
 130.00;      36.5815;      18.3079
 132.00;      36.5818;      18.2822
 134.00;      36.5778;      18.2532
 136.00;      36.5749;      18.2303
 138.00;      36.5675;      18.1670
 140.00;      36.5656;      18.1435
 142.00;      36.5598;      18.0974
 144.00;      36.5598;      18.0896
 146.00;      36.5536;      18.0599
 148.00;      36.5496;      18.0253
 150.00;      36.5412;      17.9619
 152.00;      36.5324;      17.9275
 154.00;      36.5264;      17.8627
 156.00;      36.5251;      17.8535
 158.00;      36.5146;      17.7987
 160.00;      36.5142;      17.7848
 162.00;      36.5055;      17.7421
 164.00;      36.4954;      17.6925
 166.00;      36.4814;      17.6310
 168.00;      36.4646;      17.5395
 170.00;      36.4351;      17.3776
 172.00;      36.4217;      17.3116
 174.00;      36.4141;      17.2672
 176.00;      36.4077;      17.2313
 178.00;      36.4031;      17.2014
 180.00;      36.3959;      17.1717
 182.00;      36.3640;      17.0098
 184.00;      36.3537;      16.9494
 186.00;      36.3385;      16.8834
 188.00;      36.3330;      16.8342
 190.00;      36.3323;      16.8281
 192.00;      36.3303;      16.8129
 194.00;      36.3269;      16.7978
 196.00;      36.3069;      16.7007
 198.00;      36.2969;      16.6455
 200.00;      36.2890;      16.5868
 202.00;      36.2790;      16.5477
 204.00;      36.2736;      16.5000
 206.00;      36.2709;      16.4829
 208.00;      36.2676;      16.4677
 210.00;      36.2642;      16.4453
 212.00;      36.2594;      16.4159
 214.00;      36.2443;      16.3329
 216.00;      36.2392;      16.3093
 218.00;      36.2345;      16.2722
 220.00;      36.2293;      16.2417
 222.00;      36.2248;      16.2119
 224.00;      36.2214;      16.1948
 226.00;      36.2141;      16.1534
 228.00;      36.2099;      16.1296
 230.00;      36.2000;      16.0667
 232.00;      36.1972;      16.0512
 234.00;      36.1911;      16.0158
 236.00;      36.1840;      15.9638
 238.00;      36.1711;      15.8924
 240.00;      36.1690;      15.8692
 242.00;      36.1621;      15.8308
 244.00;      36.1618;      15.8208
 246.00;      36.1600;      15.8124
 248.00;      36.1503;      15.7645
 250.00;      36.1449;      15.7222
 252.00;      36.1420;      15.7050
 254.00;      36.1303;      15.6473
 256.00;      36.1272;      15.6171
 258.00;      36.1231;      15.5906
 260.00;      36.1178;      15.5595
 262.00;      36.1145;      15.5473
 264.00;      36.1068;      15.4898
 266.00;      36.0988;      15.4442
 268.00;      36.0950;      15.4192
 270.00;      36.0889;      15.3928
 272.00;      36.0800;      15.3329
 274.00;      36.0732;      15.2886
 276.00;      36.0676;      15.2489
 278.00;      36.0596;      15.2169
 280.00;      36.0536;      15.1673
 282.00;      36.0512;      15.1492
 284.00;      36.0482;      15.1342
 286.00;      36.0439;      15.1042
 288.00;      36.0406;      15.0764
 290.00;      36.0395;      15.0614
 292.00;      36.0374;      15.0485
 294.00;      36.0329;      15.0166
 296.00;      36.0169;      14.9334
 298.00;      36.0126;      14.8989
 300.00;      36.0016;      14.8556
 302.00;      35.9941;      14.7885
 304.00;      35.9899;      14.7609
 306.00;      35.9804;      14.7021
 308.00;      35.9699;      14.6171
 310.00;      35.9669;      14.5952
 312.00;      35.9660;      14.5841
 314.00;      35.9648;      14.5713
 316.00;      35.9646;      14.5666
 318.00;      35.9640;      14.5627
 320.00;      35.9619;      14.5491
 322.00;      35.9575;      14.5252
 324.00;      35.9503;      14.4880
 326.00;      35.9447;      14.4414
 328.00;      35.9394;      14.4003
 330.00;      35.9278;      14.3403
 332.00;      35.9237;      14.2958
 334.00;      35.9185;      14.2717
 336.00;      35.9069;      14.2147
 338.00;      35.9029;      14.1847
 340.00;      35.8981;      14.1565
 342.00;      35.8902;      14.1102
 344.00;      35.8866;      14.0580
 346.00;      35.8846;      14.0416
 348.00;      35.8799;      14.0203
 350.00;      35.8747;      13.9904
 352.00;      35.8743;      13.9763
 354.00;      35.8707;      13.9567
 356.00;      35.8597;      13.9028
 358.00;      35.8564;      13.8741
 360.00;      35.8505;      13.8333
 362.00;      35.8447;      13.7876
 364.00;      35.8401;      13.7567
 366.00;      35.8339;      13.7144
 368.00;      35.8319;      13.6959
 370.00;      35.8307;      13.6807
 372.00;      35.8280;      13.6646
 374.00;      35.8275;      13.6584
 376.00;      35.8162;      13.5892
 378.00;      35.8123;      13.5546
 380.00;      35.8093;      13.5315
 382.00;      35.8042;      13.4903
 384.00;      35.7965;      13.4468
 386.00;      35.7923;      13.4109
 388.00;      35.7854;      13.3624
 390.00;      35.7814;      13.3274
 392.00;      35.7818;      13.3198
 394.00;      35.7805;      13.3097
 396.00;      35.7797;      13.3017
 398.00;      35.7783;      13.2895
 400.00;      35.7728;      13.2567
 402.00;      35.7687;      13.2160
 404.00;      35.7672;      13.2027
 406.00;      35.7659;      13.1909
 408.00;      35.7655;      13.1862
 410.00;      35.7652;      13.1843
 412.00;      35.7646;      13.1808
 414.00;      35.7634;      13.1713
 416.00;      35.7540;      13.1173
 418.00;      35.7510;      13.0777
 420.00;      35.7480;      13.0572
 422.00;      35.7464;      13.0444
 424.00;      35.7451;      13.0360
 426.00;      35.7418;      13.0093
 428.00;      35.7392;      12.9793
 430.00;      35.7346;      12.9430
 432.00;      35.7337;      12.9319
 434.00;      35.7312;      12.9107
 436.00;      35.7281;      12.8919
 438.00;      35.7234;      12.8488
 440.00;      35.7206;      12.8262
 442.00;      35.7176;      12.8040
 444.00;      35.7148;      12.7739
 446.00;      35.7102;      12.7380
 448.00;      35.7080;      12.7148
 450.00;      35.7068;      12.7083
 452.00;      35.7033;      12.6702
 454.00;      35.6983;      12.6298
 456.00;      35.6937;      12.5844
 458.00;      35.6908;      12.5481
 460.00;      35.6904;      12.5449
 462.00;      35.6866;      12.5058
 464.00;      35.6846;      12.4905
 466.00;      35.6837;      12.4743
 468.00;      35.6830;      12.4681
 470.00;      35.6829;      12.4649
 472.00;      35.6822;      12.4593
 474.00;      35.6805;      12.4490
 476.00;      35.6797;      12.4354
 478.00;      35.6786;      12.4256
 480.00;      35.6767;      12.4134
 482.00;      35.6761;      12.3967
 484.00;      35.6751;      12.3889
 486.00;      35.6735;      12.3695
 488.00;      35.6723;      12.3487
 490.00;      35.6721;      12.3458
 492.00;      35.6715;      12.3375
 494.00;      35.6675;      12.3029
 496.00;      35.6663;      12.2876
 498.00;      35.6627;      12.2543
 500.00;      35.6607;      12.2375
 502.00;      35.6583;      12.2201
 504.00;      35.6561;      12.1996
 506.00;      35.6551;      12.1802
 508.00;      35.6532;      12.1638
 510.00;      35.6501;      12.1414
 512.00;      35.6497;      12.1283
 514.00;      35.6476;      12.1103
 516.00;      35.6466;      12.1023
 518.00;      35.6462;      12.0958
 520.00;      35.6452;      12.0881
 522.00;      35.6443;      12.0796
 524.00;      35.6431;      12.0702
 526.00;      35.6425;      12.0625
 528.00;      35.6418;      12.0571
 530.00;      35.6410;      12.0477
 532.00;      35.6393;      12.0320
 534.00;      35.6364;      12.0056
 536.00;      35.6365;      12.0018
 538.00;      35.6361;      11.9971
 540.00;      35.6367;      11.9929
 542.00;      35.6370;      11.9922
 544.00;      35.6340;      11.9710
 546.00;      35.6305;      11.9361
 548.00;      35.6275;      11.9139
 550.00;      35.6236;      11.8838
 552.00;      35.6231;      11.8605
 554.00;      35.6209;      11.8325
 556.00;      35.6192;      11.8189
 558.00;      35.6166;      11.7936
 560.00;      35.6148;      11.7739
 562.00;      35.6134;      11.7522
 564.00;      35.6129;      11.7414
 566.00;      35.6115;      11.7303
 568.00;      35.6085;      11.7104
 570.00;      35.6081;      11.6937
 572.00;      35.6081;      11.6884
 574.00;      35.6066;      11.6797
 576.00;      35.6046;      11.6581
 578.00;      35.6037;      11.6445
 580.00;      35.6034;      11.6381
 582.00;      35.6032;      11.6250
 584.00;      35.6020;      11.6098
 586.00;      35.6006;      11.5845
 588.00;      35.6002;      11.5752
 590.00;      35.5961;      11.5426
 592.00;      35.5943;      11.5157
 594.00;      35.5922;      11.4959
 596.00;      35.5902;      11.4765
 598.00;      35.5891;      11.4631
 600.00;      35.5882;      11.4438
 602.00;      35.5863;      11.4197
 604.00;      35.5847;      11.4000
