Pression SBE41,Temperature SBE41,Salinite SBE41,Pression SBE61,Temperature SBE61,Salinite SBE61,Pression RBR,Temperature RBR,Salinite RBR,Temperature interne RBR
22.5,21097,36933,22.7,21098,36928,NaN,NaN,NaN,NaN
25.1,21098,36932,25,21098,36927,25.7,21099,36932,21106
27.6,21099,36933,27.6,21100,36927,28.2,21101,36931,21045
30.2,21102,36933,30.3,21103,36928,30.8,21103,36932,21045
32.6,21103,36932,32.7,21102,36927,33.3,21104,36932,21045
35.1,21101,36932,35.2,21102,36926,35.7,21103,36932,21106
37.5,21101,36933,37.7,21103,36927,38.3,21103,36931,21075
40.1,21105,36933,40.1,21109,36927,40.7,21107,36932,21045
42.7,21107,36934,42.7,21108,36929,43.4,21109,36933,21075
45.1,21108,36934,45.3,21106,36928,45.9,21110,36933,21075
47.6,21106,36933,47.6,21102,36927,48.3,21104,36934,21045
50,21101,36933,50.1,21100,36927,50.7,21101,36934,21075
50.2,21101,36933,50.4,21099,36927,51,21102,36932,21137
50.5,21100,36933,50.5,21100,36927,51.2,21102,36932,21137
50.8,21100,36933,50.8,21100,36927,51.5,21101,36933,21106
50.9,21100,36933,50.9,21098,36927,51.7,21101,36933,21075
51.2,21099,36933,51.3,21099,36927,52,21101,36933,21075
51.5,21099,36933,51.5,21098,36927,52.2,21101,36933,21167
51.8,21099,36933,51.8,21099,36927,52.5,21101,36933,21106
52,21099,36933,52,21099,36927,52.7,21101,36932,21106
52.2,21099,36933,52.3,21099,36927,53,21101,36932,21106
52.5,21099,36933,52.6,21100,36927,53.2,21100,36933,21167
52.7,21099,36933,52.8,21100,36927,53.5,21100,36932,21106
52.9,21099,36933,53,21100,36927,53.7,21100,36933,21075
53.2,21099,36933,53.2,21100,36927,54,21101,36932,21106
53.5,21099,36933,53.6,21100,36927,54.2,21101,36932,21075
53.7,21099,36933,53.8,21100,36927,54.5,21101,36932,21075
54,21099,36933,54,21100,36927,54.7,21101,36932,21075
54.3,21099,36933,54.3,21100,36927,55,21101,36932,21075
54.5,21099,36933,54.5,21100,36927,55.3,21101,36932,21075
54.7,21099,36933,54.7,21100,36927,55.5,21101,36932,21075
55,21100,36933,55,21100,36927,55.8,21101,36932,21106
55.2,21099,36933,55.4,21100,36927,56,21101,36932,21075
55.5,21099,36933,55.5,21099,36927,56.3,21101,36932,21167
55.7,21099,36933,55.8,21100,36926,56.5,21102,36932,21167
55.9,21100,36933,56,21100,36927,56.8,21101,36932,21075
